Designator,Mid X,Mid Y,Rotation,Layer
C1,18.775,46.037,-90.0,top
C10,30.156,32.285,180.0,top
C11,17.145,38.287,-90.0,top
C12,128.085,7.327,0.0,top
C2,32.775,46.037,-90.0,top
C3,67.139,24.157,90.0,top
C4,67.139,19.077,90.0,top
C5,51.246,25.173,90.0,top
C6,51.246,20.093,90.0,top
C7,77.592,24.65,90.0,top
C8,77.592,31.762,-90.0,top
C9,53.025,11.537,90.0,top
Crystal1,72.512,28.221,-90.0,top
D1,43.561,18.061,-90.0,top
F1,12.525,44.537,0.0,top
F2,12.525,29.287,0.0,top
F3,12.525,24.287,0.0,top
J1,50.791,48.462,90.0,top
J2,143.791,48.462,-90.0,top
R1,47.625,17.045,-90.0,top
R2,39.691,43.662,-90.0,top
R3,42.991,41.862,90.0,top
SW1,38.775,10.537,0.0,top
U1,59.12,22.887,180.0,top
U2,31.934,27.84,180.0,top
U3,12.065,37.037,0.0,top
U4,25.525,51.037,0.0,top
